routeId,timestamp,dayOfWeek,timeAt96,SwitchOrNot
1,35,weekday,337,no
1,46,weekday,350,no
1,35,weekday,372,no
1,35,weekday,392,no
1,209,weekday,512,no
1,226,weekday,530,no
1,205,weekday,552,no
1,246,weekday,571,no
1,223,weekday,581,no
1,269,weekday,591,no
1,295,weekday,608,no
1,263,weekday,624,yes
1,312,weekday,634,no
1,284,weekday,643,yes
1,346,weekday,650,yes
1,299,weekday,659,yes
1,309,weekday,667,yes
1,318,weekday,675,no
1,360,weekday,682,yes
1,333,weekday,691,yes
1,338,weekday,699,yes
1,349,weekday,707,yes
1,359,weekday,715,no
1,364,weekday,721,yes
1,369,weekday,727,yes
1,374,weekday,732,yes
1,411,weekday,735,yes
1,384,weekday,742,yes
1,421,weekday,746,yes
1,394,weekday,752,yes
1,432,weekday,756,yes
1,438,weekday,760,yes
1,404,weekday,765,yes
1,408,weekday,768,yes
1,445,weekday,771,yes
1,448,weekday,774,yes
1,453,weekday,778,yes
1,424,weekday,782,yes
1,459,weekday,784,yes
1,429,weekday,789,yes
1,467,weekday,792,no
1,489,weekday,795,yes
1,472,weekday,798,yes
1,463,weekday,802,yes
1,432,weekday,803,yes
1,444,weekday,805,yes
1,481,weekday,807,yes
1,484,weekday,810,yes
1,454,weekday,814,yes
1,432,weekday,817,yes
1,512,weekday,818,yes
1,495,weekday,822,yes
1,518,weekday,823,yes
1,463,weekday,826,no
1,489,weekday,830,yes
1,474,weekday,833,yes
1,510,weekday,836,yes
1,528,weekday,837,yes
1,498,weekday,842,yes
1,484,weekday,845,no
1,523,weekday,849,yes
1,548,weekday,854,yes
1,552,weekday,858,no
1,503,weekday,864,no
1,562,weekday,868,yes
1,514,weekday,874,yes
1,519,weekday,879,yes
1,523,weekday,884,yes
1,534,weekday,890,yes
1,568,weekday,894,yes
1,543,weekday,901,yes
1,550,weekday,906,yes
1,554,weekday,911,yes
1,558,weekday,916,no
1,564,weekday,921,no
1,569,weekday,926,yes
1,1199,weekend,1501,yes
1,1210,weekend,1511,no
1,1216,weekend,1515,yes
1,1223,weekend,1522,no
1,1232,weekend,1532,no
1,1240,weekend,1541,yes
1,1247,weekend,1547,no
1,1254,weekend,1555,yes
1,1265,weekend,1564,yes
1,1278,weekend,1578,yes
1,1283,weekend,1583,yes
1,1291,weekend,1591,yes
1,1300,weekend,1599,yes
1,1309,weekend,1611,yes
1,1319,weekend,1620,yes
1,1321,weekend,1628,yes
1,1321,weekend,1639,yes
1,1321,weekend,1650,no
1,1321,weekend,1662,no
1,1321,weekend,1674,no
1,674,weekday,1000,yes
1,688,weekday,1005,yes
1,687,weekday,1012,yes
1,715,weekday,1019,yes
1,700,weekday,1026,yes
1,704,weekday,1032,yes
1,733,weekday,1037,yes
1,728,weekday,1042,yes
1,741,weekday,1049,no
1,735,weekday,1054,yes
1,749,weekday,1062,yes
1,763,weekday,1067,yes
1,755,weekday,1074,yes
1,764,weekday,1078,no
1,771,weekday,1085,yes
1,763,weekday,1091,yes
1,779,weekday,1098,yes
1,783,weekday,1102,yes
1,795,weekday,1109,yes
1,810,weekday,1115,yes
1,813,weekday,1121,no
1,808,weekday,1127,yes
1,829,weekday,1133,yes
1,824,weekday,1139,yes
1,827,weekday,1146,yes
1,836,weekday,1151,no
1,850,weekday,1158,yes
1,859,weekday,1163,yes
1,854,weekday,1168,yes
1,860,weekday,1175,no
1,873,weekday,1181,yes
1,873,weekday,1187,yes
1,875,weekday,1194,yes
1,839,weekday,1200,no
1,843,weekday,1205,yes
1,848,weekday,1210,no
1,854,weekday,1215,yes
1,863,weekday,1220,yes
1,869,weekday,1225,yes
1,873,weekday,1230,yes
1,878,weekday,1235,yes
1,935,weekday,1239,yes
1,921,weekday,1244,yes
1,920,weekday,1250,no
1,928,weekday,1254,yes
1,920,weekday,1260,no
1,954,weekday,1262,yes
1,920,weekday,1265,yes
1,920,weekday,1270,yes
1,920,weekday,1275,no
1,954,weekday,1278,yes
1,977,weekday,1281,no
1,929,weekday,1287,yes
